Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2019,Kalimantan Selatan,Kab. Hulu Sungai Selatan,42.31,0.79,34.08,5.69,4.71,3.60,1.88
2019,Kalimantan Selatan,Kab. Hulu Sungai Tengah,11.52,1.53,6.83,2.04,2.35,7.65,0.53
2019,Kalimantan Selatan,Kab. Hulu Sungai Utara,2.90,0.30,22.60,1.00,5.45,0.01,2.53
2019,Kalimantan Selatan,Kab. Tanah Bumbu,120.00,4.00,50.00,,2.00,2.00,2.00
2019,Kalimantan Selatan,Kab. Balangan,24.73,5.05,9.26,6.15,2.53,3.78,1.24
2019,Kalimantan Selatan,Kota Banjarmasin,,,,,,,
2019,Kalimantan Selatan,Kota Banjarbaru,157.63,0.54,1.50,0.01,4.83,0.50,0.50
2019,Kalimantan Timur,Kab. Paser,89.69,2.24,10.09,5.61,2.24,2.24,
2019,Kalimantan Timur,Kab. Kutai Kartanegara,,,,,,,
2019,Kalimantan Timur,Kab. Berau,50.70,1.60,8.66,3.90,2.30,6.00,40.00
2019,Kalimantan Timur,Kab. Kutai Timur,,,,,,,
2019,Kalimantan Timur,Kab. Penajam Paser Utara,10.00,2.10,3.10,3.00,2.00,1.00,1.00
2019,Kalimantan Timur,Kota Balikpapan,332.09,8.90,29.26,41.46,21.60,6.19,19.12
2019,Kalimantan Timur,Kota Samarinda,,,,,,,
2019,Kalimantan Timur,Kota Bontang,79.69,3.67,5.86,,3.58,8.46,0.45
2019,Kalimantan Utara,Kab. Nunukan,,,,,,,
2019,Kalimantan Utara,Kota Tarakan,1.75,0.08,4.50,3.69,1.49,0.06,2.00
2019,Sulawesi Utara,Kab. Minahasa,,,,,,,
2019,Sulawesi Utara,Kab. Kepulauan Sangihe,,,,,,,
2019,Sulawesi Utara,Kab. Kepulauan Talaud,8.15,2.09,7.37,3.48,2.79,0.60,0.43
2019,Sulawesi Utara,Kab. Minahasa Selatan,,,,,,,
2019,Sulawesi Utara,Kab. Minahasa Utara,,,,,,,
2019,Sulawesi Utara,Kab. Minahasa Tenggara,,,,,,,
2019,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,,,,,,,
2019,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,,,,,,,
2019,Sulawesi Utara,Kota Bitung,,,,,,,
2019,Sulawesi Utara,Kota Tomohon,,,,,,,
2019,Sulawesi Utara,Kota Kotamobagu,35.20,3.00,10.90,7.20,3.10,,2.40
2019,Sulawesi Tengah,Kab. Banggai,,,,,,,
2019,Sulawesi Tengah,Kab. Poso,14.10,1.25,3.10,0.71,0.92,0.62,0.30
2019,Sulawesi Tengah,Kab. Donggala,3.00,0.50,2.00,1.50,1.60,1.00,1.00
2019,Sulawesi Tengah,Kab. Parigi Moutong,,,,,,,
2019,Sulawesi Selatan,Kab. Kepulauan Selayar,32.00,6.00,18.00,6.00,3.00,1.80,
2019,Sulawesi Selatan,Kab. Bulukumba,,,,,,,
2019,Sulawesi Selatan,Kab. Bantaeng,22.90,0.90,1.70,1.70,0.10,,2.00
2019,Sulawesi Selatan,Kab. Sinjai,95.73,0.90,1.00,1.50,3.94,3.00,0.30
2019,Sulawesi Selatan,Kab. Bone,186.50,33.30,72.30,28.50,22.20,15.90,11.10
2019,Sulawesi Selatan,Kab. Maros,6.50,1.17,0.65,0.58,1.38,,2.27
2019,Sulawesi Selatan,Kab. Pangkajene Kepulauan,,,,,,,
2019,Sulawesi Selatan,Kab. Barru,43.77,7.29,4.38,2.19,4.38,7.29,3.65
